Year,Location,Vehicle_Type,Count
2012,RECTO,Car,20926
2012,MENDOZA,Car,40034
2012,PRES. QUIRINO AVE.,Car,99264
2012,ARANETA AVE.,Car,51390
2012,EDSA (BUENDIA AVE.),Car,264067
2012,KATIPUNAN / C.P. GARCIA,Car,122403
2012,ROXAS BLVD.,Car,123505
2012,TAFT AVE.,Car,27273
2012,SSH,Car,92053
2012,SHAW BLVD.,Car,58292
2012,ORTIGAS AVE.,Car,73479
2012,MAGSAYSAY BLVD.,Car,60568
2012,AURORA BLVD.,Car,78434
2012,QUEZON AVE.,Car,106611
2012,COMMONWEALTH AVE.,Car,144758
2012,A. BONIFACIO,Car,51790
2012,RIZAL AVE.,Car,28956
2012,MARCOS HIGHWAY,Car,89053
2012,MCARTHUR HIGHWAY,Car,35330
2012,TOTAL,Car,1568186
2012,RECTO,PUJ,15845
2012,MENDOZA,PUJ,1514
2012,PRES. QUIRINO AVE.,PUJ,5019
2012,ARANETA AVE.,PUJ,1432
2012,EDSA (BUENDIA AVE.),PUJ,3292
2012,KATIPUNAN / C.P. GARCIA,PUJ,2274
2012,ROXAS BLVD.,PUJ,300
2012,TAFT AVE.,PUJ,6344
2012,SSH,PUJ,20
2012,SHAW BLVD.,PUJ,11637
2012,ORTIGAS AVE.,PUJ,7982
2012,MAGSAYSAY BLVD.,PUJ,6974
2012,AURORA BLVD.,PUJ,19215
2012,QUEZON AVE.,PUJ,1558
2012,COMMONWEALTH AVE.,PUJ,13173
2012,A. BONIFACIO,PUJ,9414
2012,RIZAL AVE.,PUJ,14606
2012,MARCOS HIGHWAY,PUJ,12743
2012,MCARTHUR HIGHWAY,PUJ,11087
2012,TOTAL,PUJ,154460
2012,RECTO,PUB,872
2012,MENDOZA,PUB,319
2012,PRES. QUIRINO AVE.,PUB,500
2012,ARANETA AVE.,PUB,55
2012,EDSA (BUENDIA AVE.),PUB,15214
2012,KATIPUNAN / C.P. GARCIA,PUB,52
2012,ROXAS BLVD.,PUB,2856
2012,TAFT AVE.,PUB,2878
2012,SSH,PUB,1040
2012,SHAW BLVD.,PUB,56
2012,ORTIGAS AVE.,PUB,1077
2012,MAGSAYSAY BLVD.,PUB,1377
2012,AURORA BLVD.,PUB,173
2012,QUEZON AVE.,PUB,2074
2012,COMMONWEALTH AVE.,PUB,6690
2012,A. BONIFACIO,PUB,2485
2012,RIZAL AVE.,PUB,479
2012,MARCOS HIGHWAY,PUB,105
2012,MCARTHUR HIGHWAY,PUB,2485
2012,TOTAL,PUB,40787
2012,RECTO,Truck,702
2012,MENDOZA,Truck,5253
2012,PRES. QUIRINO AVE.,Truck,7788
2012,ARANETA AVE.,Truck,4401
2012,EDSA (BUENDIA AVE.),Truck,5023
2012,KATIPUNAN / C.P. GARCIA,Truck,7289
2012,ROXAS BLVD.,Truck,363
2012,TAFT AVE.,Truck,223
2012,SSH,Truck,7703
