Location,Car,PUJ,PUB,Truck,Trailer,MC,Tricycle,Total
RECTO,29237,17747,1073,939,347,12559,1631,63533
MENDOZA,54759,2938,366,5093,1000,17225,1142,82523
PRES. QUIRINO,94475,4668,210,6729,2204,21083,524,129893
ARANETA AVE.,74498,1572,26,6297,815,21375,1111,105694
EDSA (BUENDIA AVE.),272965,3032,14919,4491,4,47192,9,342612
KATIPUNAN,133929,2268,35,7142,817,19974,11764,175929
ROXAS BLVD.,117255,87,1037,459,7,23105,13,141963
TAFT AVE.,51640,14176,1281,435,53,10015,303,77903
SSH,97771,61,1492,7323,2508,22758,62,131975
SHAW BLVD.,56753,11346,56,1458,64,18739,14,88430
ORTIGAS AVE.,66856,11843,837,4336,562,21748,1,106183
MAGSAYSAY BLVD.,53279,17310,974,2118,379,18032,525,92617
AURORA BLVD.,75264,20340,127,4255,386,21484,166,122022
QUEZON AVE.,131076,15404,1789,5326,316,29298,400,183609
COMMONWEALTH AVE.,167583,19076,7525,6084,306,36745,258,237577
A. BONIFACIO,46390,7206,1902,10038,2784,11168,1082,80570
RIZAL AVE.,32226,14099,490,1987,7,19688,3172,71669
DEL PAN,31887,24,24,4455,6566,9956,627,53539
MARCOS HWY.,117772,19259,215,7237,475,28134,126,173218
MCARTHUR HWY.,33565,10765,2173,3538,305,23062,211,73619
TOTAL,1739180,193221,36551,89740,19905,433340,23141,2535078
