Location,Car,PUJ,UV,Taxi,PUB,Truck,Trailer,MC,Tricycle,Total
RECTO,27587,6749,756,3554,90,651,169,44687,1854,86097
MENDOZA,83148,523,243,5384,155,3786,12,80092,1900,175243
PRES. QUIRINO AVE.,98697,6002,1885,5383,209,3598,13,70474,973,147161
ARANETA AVE.,59994,14,2768,2989,38,2639,507,41344,15,112308
EDSA,202764,1803,2475,18186,5588,2295,119,151847,20,385096
C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,93518,405,2668,4123,230,1788,97,100133,20,211819
ROXAS BLVD.,90403,6026,4246,12498,595,9077,2050,80120,290,186120
TAFT AVE.,79342,14622,2481,4923,1174,1667,164,83705,6639,194464
SSH,146455,16471,2866,9537,1884,6774,1553,74089,20,260549
SHAW BLVD.,47526,2545,1412,5385,48,980,96,52739,21,110857
ORTIGAS AVE.,66372,4454,1612,8129,532,3261,680,94206,15,179661
MAGSAYSAY BLVD.,47686,6144,1394,3905,523,2023,414,66423,1092,128504
AURORA BLVD.,43305,7954,2163,3701,522,1802,112,59931,135,119625
QUEZON AVE.,130465,6252,2963,11809,1017,3281,1066,122111,644,280608
COMMONWEALTH AVE.,153029,5520,4223,16026,4614,7336,439,154396,602,346184
A. BONIFACIO,38717,4115,2318,1593,7850,7458,308,24822,827,84812
RIZAL AVE.,29917,7354,1536,3157,680,1145,308,54908,103,99108
DEL PAN,34415,405,1950,1163,23,887,46,60493,720,98102
MARCOS HIGHWAY,100373,7861,805,10736,2853,3163,1069,61833,774,228470
MCARTHUR HIGHWAY,24724,4074,889,3659,479,2369,169,64759,298,100556
TOTAL,1563069,100876,33639,125008,23412,74942,20309,1573729,21050,3535755
